id,timestamp,categories_collected,total_markets,total_trades,duration_seconds,status
69,2025-12-29 14:50:07.194812,"['politics', 'sports', 'crypto']",120,129,17.370875,completed
70,2025-12-29 15:29:13.590540,"['politics', 'sports', 'crypto']",120,94,17.028669,completed
71,2025-12-29 15:35:48.389869,"['politics', 'sports', 'crypto']",249,1190,36.970024,completed
72,2025-12-29 15:49:11.647514,"['politics', 'sports', 'crypto']",120,101,17.234097,completed
73,2025-12-29 16:33:23.219116,"['politics', 'sports', 'crypto']",120,120,16.963499,completed
74,2025-12-29 16:42:58.211030,"['politics', 'sports', 'crypto']",249,1709,39.785381,completed
75,2025-12-29 17:24:08.807651,"['politics', 'sports', 'crypto']",120,71,16.929861,completed
76,2025-12-29 17:33:37.305023,"['politics', 'sports', 'crypto']",249,342,39.255244,completed
77,2025-12-29 17:44:34.445030,"['politics', 'sports', 'crypto']",120,233,16.607336,completed
78,2025-12-29 18:38:03.955171,"['politics', 'sports', 'crypto']",120,157,17.370236,completed
79,2025-12-29 18:46:34.131564,"['politics', 'sports', 'crypto']",249,818,37.260016,completed
80,2025-12-29 19:21:17.637364,"['politics', 'sports', 'crypto']",120,179,17.279625,completed
81,2025-12-29 19:27:55.878091,"['politics', 'sports', 'crypto']",249,607,40.076112,completed
82,2025-12-29 19:40:57.303785,"['politics', 'sports', 'crypto']",120,198,16.828871,completed
83,2025-12-29 20:30:31.575832,"['politics', 'sports', 'crypto']",120,126,16.33454,completed
84,2025-12-29 20:37:06.792279,"['politics', 'sports', 'crypto']",249,751,36.044409,completed
85,2025-12-29 20:49:36.937620,"['politics', 'sports', 'crypto']",120,121,15.558368,completed
86,2025-12-29 21:24:30.273142,"['politics', 'sports', 'crypto']",120,283,17.051226,completed
87,2025-12-29 21:31:46.028094,"['politics', 'sports', 'crypto']",249,1427,36.276881,completed
88,2025-12-29 21:43:36.736163,"['politics', 'sports', 'crypto']",120,346,15.738342,completed
89,2025-12-29 22:25:26.839367,"['politics', 'sports', 'crypto']",120,80,15.527248,completed
90,2025-12-29 22:34:50.963351,"['politics', 'sports', 'crypto']",249,261,37.586773,completed
91,2025-12-29 22:45:43.156245,"['politics', 'sports', 'crypto']",120,209,16.021556,completed
92,2025-12-29 23:24:58.469931,"['politics', 'sports', 'crypto']",120,96,15.914644,completed
93,2025-12-29 23:31:23.546961,"['politics', 'sports', 'crypto']",249,519,39.483919,completed
94,2025-12-29 23:43:37.160687,"['politics', 'sports', 'crypto']",120,98,15.912192,completed
95,2025-12-30 02:04:15.576195,"['politics', 'sports', 'crypto']",120,185,16.061859,completed
96,2025-12-30 02:27:03.308292,"['politics', 'sports', 'crypto']",249,627,48.521042,completed
97,2025-12-30 03:49:58.059771,"['politics', 'sports', 'crypto']",120,79,16.156614,completed
98,2025-12-30 04:09:12.170089,"['politics', 'sports', 'crypto']",249,312,49.065391,completed
99,2025-12-30 04:43:16.027651,"['politics', 'sports', 'crypto']",120,264,16.201595,completed
100,2025-12-30 04:51:26.100544,"['politics', 'sports', 'crypto']",249,611,35.917074,completed
101,2025-12-30 05:29:42.720388,"['politics', 'sports', 'crypto']",120,341,16.596346,completed
102,2025-12-30 05:39:11.674108,"['politics', 'sports', 'crypto']",249,1312,35.95549,completed
103,2025-12-30 05:50:53.747648,"['politics', 'sports', 'crypto']",120,178,19.30126,completed
104,2025-12-30 06:40:53.372223,"['politics', 'sports', 'crypto']",120,133,16.922455,completed
105,2025-12-30 06:51:31.050617,"['politics', 'sports', 'crypto']",249,1197,43.309091,completed
106,2025-12-30 07:28:24.142995,"['politics', 'sports', 'crypto']",120,479,17.111676,completed
107,2025-12-30 07:34:29.196490,"['politics', 'sports', 'crypto']",249,939,36.172767,completed
108,2025-12-30 07:46:19.832605,"['politics', 'sports', 'crypto']",120,363,16.568594,completed
109,2025-12-30 08:36:27.836414,"['politics', 'sports', 'crypto']",120,130,17.242403,completed
110,2025-12-30 08:46:43.150472,"['politics', 'sports', 'crypto']",249,592,39.74238,completed
111,2025-12-30 09:31:28.144030,"['politics', 'sports', 'crypto']",120,400,16.483147,completed
112,2025-12-30 09:39:13.690306,"['politics', 'sports', 'crypto']",249,794,43.876303,completed
113,2025-12-30 10:29:52.508767,"['politics', 'sports', 'crypto']",120,145,15.839999,completed
114,2025-12-30 10:39:51.702158,"['politics', 'sports', 'crypto']",249,681,37.842975,completed
115,2025-12-30 10:51:44.793637,"['politics', 'sports', 'crypto']",120,148,16.491705,completed
116,2025-12-30 11:24:33.206207,"['politics', 'sports', 'crypto']",120,140,16.44764,completed
117,2025-12-30 11:31:30.306269,"['politics', 'sports', 'crypto']",249,1113,40.332363,completed
118,2025-12-30 11:43:23.858486,"['politics', 'sports', 'crypto']",120,36,16.304473,completed
119,2025-12-30 12:55:22.907949,"['politics', 'sports', 'crypto']",120,108,14.967303,completed
120,2025-12-30 13:05:26.336530,"['politics', 'sports', 'crypto']",249,537,39.202794,completed
121,2025-12-30 13:40:20.261510,"['politics', 'sports', 'crypto']",120,101,17.590221,completed
122,2025-12-30 13:49:27.448934,"['politics', 'sports', 'crypto']",249,509,40.264819,completed
123,2025-12-30 14:27:42.822234,"['politics', 'sports', 'crypto']",120,134,16.88558,completed
124,2025-12-30 14:37:51.028358,"['politics', 'sports', 'crypto']",249,2501,37.501612,completed
125,2025-12-30 14:49:23.262873,"['politics', 'sports', 'crypto']",120,59,17.173926,completed
126,2025-12-30 15:28:33.680673,"['politics', 'sports', 'crypto']",120,68,15.660084,completed
127,2025-12-30 15:34:57.961625,"['politics', 'sports', 'crypto']",249,379,38.034731,completed
