id,date,category,total_trades,total_volume,avg_trade_size,retail_trade_share,retail_volume_share,small_trade_share,evening_share,weekend_share,burstiness,flow_score,attention_score,retail_score,retail_level,whale_share,whale_dominated,trade_threshold,trade_threshold_method,markets_covered,quality_markets,confidence_label,confidence_score,created_at
53328,2025-07-15,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882601
53329,2025-07-16,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882602
53330,2025-07-16,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882603
53331,2025-07-16,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882603
53332,2025-07-16,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882604
53333,2025-07-17,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882605
53334,2025-07-17,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882605
53335,2025-07-17,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882606
53336,2025-07-17,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882607
53337,2025-07-18,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882607
53338,2025-07-18,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882608
53339,2025-07-18,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882609
53340,2025-07-18,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882610
53341,2025-07-19,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882610
53342,2025-07-19,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882611
53343,2025-07-19,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882612
53344,2025-07-19,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882612
53345,2025-07-20,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882613
53346,2025-07-20,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882614
53347,2025-07-20,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882614
53348,2025-07-20,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882615
53349,2025-07-21,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882616
53350,2025-07-21,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882616
53351,2025-07-21,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882617
53352,2025-07-21,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882618
53353,2025-07-22,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882618
53354,2025-07-22,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882619
53355,2025-07-22,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882620
53356,2025-07-22,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882621
53357,2025-07-23,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882621
53358,2025-07-23,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882622
53359,2025-07-23,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882623
53360,2025-07-23,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882623
53361,2025-07-24,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882625
53362,2025-07-24,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882625
53363,2025-07-24,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882626
53364,2025-07-24,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882627
53365,2025-07-25,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882627
